GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jwe.AesCbcHmac,0,282,0,4,0,48,0,11,0,9
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JoseBuilder,0,111,0,4,0,22,0,14,0,12
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jwe,0,1090,0,88,0,208,0,83,0,39
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,EncodingUtils,0,201,0,10,0,36,0,11,0,6
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JwsSignedPayload,0,103,0,8,0,31,0,11,0,7
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,UnsignedBigInteger,0,31,0,2,0,8,0,3,0,2
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,CryptJsonAdapters,0,144,0,9,0,29,0,24,0,16
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,CertificateReferenceBuilder,0,46,0,0,0,8,0,7,0,7
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JweRecipient,0,541,0,38,0,102,0,33,0,14
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JsonKeyReference,0,106,0,10,0,19,0,13,0,8
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jwk,0,1010,0,59,0,163,0,79,0,49
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JweRecipientBuilder,0,96,0,6,0,23,0,10,0,7
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jose,0,354,0,38,0,67,0,40,0,21
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JweRecipientBuilder.EncryptedKeyBuilder,0,397,0,10,0,77,0,18,0,11
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,CompactEncoded.new Iterator() {...},0,71,0,10,0,12,0,8,0,3
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jwt,0,298,0,20,0,61,0,33,0,23
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jws,0,608,0,68,0,125,0,54,0,18
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JsonCertificateReference,0,198,0,18,0,35,0,24,0,15
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JwsBuilder.PendingSignature,0,88,0,10,0,16,0,9,0,4
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,Jose.Extension,0,4,0,0,0,4,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,CryptSpi,0,129,0,4,0,27,0,21,0,19
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JwsBuilder,0,470,0,24,0,96,0,35,0,22
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JwtBuilder,0,100,0,6,0,21,0,15,0,12
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,KeyReferenceBuilder,0,16,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JweBuilder,0,270,0,22,0,52,0,21,0,10
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,CompactEncoded,0,38,0,2,0,6,0,4,0,3
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuPooledConnection.new ThreadFactory() {...},0,26,0,0,0,4,0,2,0,2
